id	title	issue	year	variant	class	action	proposed_new_title	index_collision	collides_with	clean_peer_ids	convergence_loser_to	fmv_rows	fmv_rows_with_data	bid_links	created_at
581	Iron Man #123	123			A-doubled-only	delete		no		593		1	0	0	2026-06-28 07:18:02
582	Uncanny X-Men #255	255			A-doubled-only	delete		no		595		1	0	0	2026-06-28 07:18:02
583	World's Finest Comics #199	199			A-doubled-only	delete		no		225		1	0	0	2026-06-28 07:18:02
584	Thor #149	149			A-doubled-only	delete		no		301		1	0	0	2026-06-28 07:18:02
585	Strange Tales #151	151			A-doubled-only	delete		YES	756	756		1	0	0	2026-06-28 07:18:02
586	Thor #147	147			A-doubled-only	delete		no		387		1	0	0	2026-06-28 07:18:02
587	Thor #148	148			A-doubled-only	delete		no		306,382		1	0	0	2026-06-28 07:18:02
588	Journey into Mystery #111	111			A-doubled-only	rewrite	Journey into Mystery	no				1	0	0	2026-06-28 07:18:02
589	Journey into Mystery #113	113			A-doubled-only	rewrite	Journey into Mystery	no				1	0	0	2026-06-28 07:18:03
590	Journey into Mystery #115	115			A-doubled-only	rewrite	Journey into Mystery	no				1	0	0	2026-06-28 07:18:03
591	Thor #146	146			A-doubled-only	delete		no		300		1	0	0	2026-06-28 07:18:03
613	Assorted Crisis Events #1	1	2025		A-doubled-only	delete		YES	261	261		1	0	0	2026-07-04 09:52:49
614	Assorted Crisis Events #2	2	2025		A-doubled-only	delete		YES	620	620		1	0	0	2026-07-04 09:52:49
615	Assorted Crisis Events #3	3	2025		A-doubled-only	delete		YES	621	621		1	0	0	2026-07-04 09:52:49
616	Assorted Crisis Events #4	4	2025		A-doubled-only	delete		YES	622	622		1	0	0	2026-07-04 09:52:49
617	Assorted Crisis Events #5	5	2025		A-doubled-only	delete		YES	623	623		1	0	0	2026-07-04 09:52:49
618	Assorted Crisis Events #6	6	2025		A-doubled-only	delete		YES	624	624		1	0	0	2026-07-04 09:52:49
619	Assorted Crisis Events #7	7	2025		A-doubled-only	delete		YES	625	625		1	0	0	2026-07-04 09:52:49
626	X-Men #95	95			A-doubled-only	delete		YES	660	660		1	0	0	2026-07-11 01:56:07
627	X-Men #96	96			A-doubled-only	delete		no		661		1	0	0	2026-07-11 01:56:07
628	X-Men #97	97			A-doubled-only	delete		YES	662	662		1	0	0	2026-07-11 01:56:07
629	X-Men #99	99			A-doubled-only	delete		YES	663	663		1	0	0	2026-07-11 01:56:07
630	X-Men #102	102			A-doubled-only	delete		YES	664	664		1	0	0	2026-07-11 01:56:07
631	X-Men #103	103			A-doubled-only	delete		YES	665	665		1	0	0	2026-07-11 01:56:07
632	X-Men #104	104			A-doubled-only	delete		no		108		1	0	0	2026-07-11 01:56:07
633	X-Men #105	105			A-doubled-only	delete		YES	666	666		1	0	0	2026-07-11 01:56:07
634	X-Men #108	108			A-doubled-only	delete		YES	667	667		1	0	0	2026-07-11 01:56:07
635	X-Men #109	109			A-doubled-only	delete		YES	668	668		1	0	0	2026-07-11 01:56:07
636	X-Men #111	111			A-doubled-only	delete		YES	669	669		1	0	0	2026-07-11 01:56:07
637	X-Men #112	112			A-doubled-only	delete		YES	670	670		1	0	0	2026-07-11 01:56:07
638	X-Men #121	121			A-doubled-only	delete		YES	671	671		1	0	0	2026-07-11 01:56:07
639	X-Men #123	123			A-doubled-only	delete		YES	672	672,673		1	0	0	2026-07-11 01:56:07
640	X-Men #123	123		Newsstand	A-doubled-only	delete		YES	673	672,673		1	0	0	2026-07-11 01:56:08
641	X-Men #127	127			A-doubled-only	delete		YES	674	674,675		1	0	0	2026-07-11 01:56:08
642	X-Men #127	127		Newsstand	A-doubled-only	delete		YES	675	674,675		1	0	0	2026-07-11 01:56:08
643	Uncanny X-Men #207	207			A-doubled-only	delete		YES	676	676		1	0	0	2026-07-11 01:56:08
644	Uncanny X-Men #211	211			A-doubled-only	delete		no		135,364		1	0	0	2026-07-11 01:56:08
645	Uncanny X-Men #212	212			A-doubled-only	delete		no		137,359,378		1	0	0	2026-07-11 01:56:08
646	Uncanny X-Men #213	213			A-doubled-only	delete		no		138,363,395		1	0	0	2026-07-11 01:56:08
647	Uncanny X-Men #239	239			A-doubled-only	delete		no		291		1	0	0	2026-07-11 01:56:08
648	Uncanny X-Men #244	244			A-doubled-only	delete		no		292		1	0	0	2026-07-11 01:56:08
649	Uncanny X-Men #257	257			A-doubled-only	delete		no		399		1	0	0	2026-07-11 01:56:08
650	Detective Comics #403	403			A-doubled-only	delete		YES	677	677		1	0	0	2026-07-11 01:56:08
651	Batman #236	236			A-doubled-only	delete		YES	678	678		1	0	0	2026-07-11 01:56:08
652	Batman #240	240			A-doubled-only	delete		YES	679	679		1	0	0	2026-07-11 01:56:08
653	Detective Comics #578	578			A-doubled-only	delete		no		62		1	0	0	2026-07-11 01:56:08
654	Detective Comics #576	576			A-doubled-only	delete		no		60		1	0	0	2026-07-11 01:56:08
655	Fantastic Four #16	16			A-doubled-only	delete		no		680		1	0	0	2026-07-11 01:56:08
656	Amazing Spider-Man #82	82			A-doubled-only	delete		YES	681	681		1	0	0	2026-07-11 01:56:08
657	Nick Fury, Agent of SHIELD #17	17			A-doubled-only	delete		YES	682	682		1	0	0	2026-07-11 01:56:08
658	Amazing Spider-Man #89	89			A-doubled-only	delete		no		131		1	0	0	2026-07-11 01:56:08
659	Detective Comics #372	372			A-doubled-only	delete		YES	683	683		1	0	0	2026-07-11 01:56:08
684	The Amazing Spider-Man #50	50	1967		A-doubled-only	delete		no		685		1	0	0	2026-07-13 07:14:48
